experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,ecdh_p256_keygen,8,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.224427,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,9,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.194785,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,10,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.109573,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,1,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.341318,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,2,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.143485,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,3,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.095333,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,4,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.079262,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,5,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.249342,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,6,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.107785,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,7,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.072743,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,8,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.075026,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,9,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.118647,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,10,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,0,0.065767,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecies_p256_wrap_32b_doc_key,1,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,1.269749,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,2,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.561562,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,3,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.485226,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,4,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.391295,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
exp6_crypto,ecies_p256_wrap_32b_doc_key,5,node-webcrypto,Linux 6.8.0-111-generic x64,Node.js v18.20.8 (linux; x64) crypto.webcrypto.subtle,v18.20.8,n/a,n/a,32,0.360739,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag.
