experiment,mode,batch_timeout_ms,tool,concurrency,trial,tps,p50_ms,p95_ms,errors,success,elapsed_s,cpu_pct,ram_mb,method,platform
exp1,fabric,2000,duration60s,50,5,68.4,10,2137,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,500,duration60s,50,1,178.5,62,1001,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,500,duration60s,50,2,166.5,56,1045,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,500,duration60s,50,3,167.1,39,1051,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,500,duration60s,50,4,183.7,34,1022,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,500,duration60s,50,5,175.9,42,1034,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,500,fixedcount_x10,50,1,262.7,11,628,0,500,1.9,NA,NA,gateway,linux_x86_64
exp1,fabric,500,fixedcount_x10,50,2,200.9,10,663,0,500,2.5,NA,NA,gateway,linux_x86_64
exp1,fabric,500,fixedcount_x10,50,3,201.9,10,635,0,500,2.5,NA,NA,gateway,linux_x86_64
exp1,fabric,500,fixedcount_x10,50,4,200.6,10,647,0,500,2.5,NA,NA,gateway,linux_x86_64
exp1,fabric,500,fixedcount_x10,50,5,201.4,10,623,0,500,2.5,NA,NA,gateway,linux_x86_64
exp1,fabric,250,duration60s,50,1,128.5,214,1366,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,250,duration60s,50,2,152.4,155,1283,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,250,duration60s,50,3,157.1,179,1224,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,250,duration60s,50,4,164.5,189,1170,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,250,duration60s,50,5,161.3,180,1284,0,NA,60,NA,NA,gateway,linux_x86_64
exp1,fabric,250,fixedcount_x10,50,1,253.3,16,599,0,500,2.0,NA,NA,gateway,linux_x86_64
exp1,fabric,250,fixedcount_x10,50,2,350.9,12,515,0,500,1.4,NA,NA,gateway,linux_x86_64
exp1,fabric,250,fixedcount_x10,50,3,298.3,12,507,0,500,1.7,NA,NA,gateway,linux_x86_64
exp1,fabric,250,fixedcount_x10,50,4,252.4,19,730,0,500,2.0,NA,NA,gateway,linux_x86_64
exp1,fabric,250,fixedcount_x10,50,5,348.7,10,516,0,500,1.4,NA,NA,gateway,linux_x86_64
exp1,postgres,NA,duration60s,50,0,231.3,98,776,0,NA,60.8,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,50,1,257.2,85,733,0,NA,60.5,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,50,2,281.9,79,614,0,NA,60.5,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,50,3,264.2,85,689,0,NA,60.3,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,50,4,287.9,77,620,0,NA,60.5,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,50,5,269.5,83,677,0,NA,60.4,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,100,1,294.7,257,822,0,NA,60.7,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,100,2,267.8,286,911,0,NA,60.4,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,100,3,287.6,263,815,0,NA,60.8,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,100,4,293.5,262,823,0,NA,60.4,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,100,5,252.9,300,900,0,NA,60.7,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,150,1,273.2,479,1116,0,NA,60.4,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,150,2,284.3,452,1050,0,NA,60.8,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,150,3,212.6,485,1134,67329,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,150,4,0.0,NA,NA,479396,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,150,5,0.0,NA,NA,450451,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,200,1,0.0,NA,NA,472375,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,200,2,0.0,NA,NA,463037,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,200,3,0.0,NA,NA,467639,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,200,4,0.0,NA,NA,478850,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,200,5,0.0,NA,NA,474160,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,300,1,0.0,NA,NA,463663,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,300,2,0.0,NA,NA,478573,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,300,3,0.0,NA,NA,468796,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,300,4,0.0,NA,NA,467293,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,300,5,0.0,NA,NA,447920,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,400,1,0.0,NA,NA,448007,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,400,2,0.0,NA,NA,449407,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,400,3,0.0,NA,NA,451619,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,400,4,0.0,NA,NA,459010,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,400,5,0.0,NA,NA,461004,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,500,1,0.0,NA,NA,431035,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,500,2,0.0,NA,NA,456082,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,500,3,0.0,NA,NA,453618,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,500,4,0.0,NA,NA,441271,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,500,5,0.0,NA,NA,439630,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,600,1,0.0,NA,NA,405083,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,600,2,0.0,NA,NA,445624,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,600,3,0.0,NA,NA,451011,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,600,4,0.0,NA,NA,447821,NA,60.0,NA,NA,db_only,linux_x86_64
exp1,postgres,NA,duration60s,600,5,0.0,NA,NA,432931,NA,60.0,NA,NA,db_only,linux_x86_64
