second,phase,success_200,http_503,http_403,other_5xx,unexpected_200,protected_bytes_returned,mean_latency_ms,p50_latency_ms,p95_latency_ms
94,post_recovery,0,33,0,0,0,0,1744.818,2006,3003
95,post_recovery,2,25,0,0,0,0,1494.963,1475,2552
96,post_recovery,33,6,0,0,0,0,1712.949,2006,2034
97,post_recovery,15,0,0,0,0,0,1217.067,1037,1992
98,post_recovery,50,0,0,0,0,0,1782.160,1955,3001
99,post_recovery,10,0,0,0,0,0,1412.600,1488,1991
100,post_recovery,44,0,0,0,0,0,1595.455,1509,2023
101,post_recovery,31,0,0,0,0,0,1756.806,1975,2541
102,post_recovery,29,0,0,0,0,0,1629.172,1989,2028
103,post_recovery,26,0,0,0,0,0,1876.846,2001,2022
104,post_recovery,27,0,0,0,0,0,1572.704,1516,2032
105,post_recovery,37,0,0,0,0,0,1697.459,1980,2015
106,post_recovery,22,0,0,0,0,0,1795.182,1539,2971
107,post_recovery,32,0,0,0,0,0,1575.781,1503,2485
108,post_recovery,36,0,0,0,0,0,1708.306,1957,2473
109,post_recovery,23,0,0,0,0,0,1714.826,1973,2016
110,post_recovery,33,0,0,0,0,0,1501.636,1541,2039
111,post_recovery,36,0,0,0,0,0,1719.111,1979,2949
112,post_recovery,28,0,0,0,0,0,1906.857,1978,2509
113,post_recovery,26,0,0,0,0,0,1516.692,1514,2034
114,post_recovery,30,0,0,0,0,0,1468.867,1094,2019
115,post_recovery,37,0,0,0,0,0,1965.432,1989,2510
116,post_recovery,23,0,0,0,0,0,1665.435,1541,2026
117,post_recovery,23,0,0,0,0,0,1297.957,1062,1985
118,post_recovery,44,0,0,0,0,0,1715.455,1532,2018
119,post_recovery,22,0,0,0,0,0,1577.864,1987,1996
120,post_recovery,38,0,0,0,0,0,1866.026,1981,2554
121,post_recovery,22,0,0,0,0,0,2642.636,2018,4109
122,post_recovery,28,0,0,0,0,0,3072.036,3126,3153
123,post_recovery,16,0,0,0,0,0,2892.063,2131,4179
124,post_recovery,0,0,0,0,0,0,0,0,0
125,post_recovery,44,0,0,0,0,0,3768.045,4139,4164
126,post_recovery,0,0,0,0,0,0,0,0,0
127,post_recovery,16,0,0,0,0,0,3384.000,4141,4169
128,post_recovery,0,0,0,0,0,0,0,0,0
129,post_recovery,32,0,0,0,0,0,3507.406,4149,4177
130,post_recovery,7,0,0,0,0,0,3845.857,4145,4153
131,post_recovery,0,0,0,0,0,0,0,0,0
132,post_recovery,21,0,0,0,0,0,2685.619,2096,4183
133,post_recovery,0,0,0,0,0,0,0,0,0
134,post_recovery,45,0,0,0,0,0,3248.289,4139,4182
